re_idx,idx,sentence,category,polarity,target,from,to
459,1430994:9,It's cuz it's so good you need to taste it!!! ,FOOD#QUALITY,positive,NULL,0,0
460,1430994:10,All in all we're already coming up with excuses to go ahead really soon in the next few wks!!!!,RESTAURANT#GENERAL,positive,NULL,0,0
461,1431154:0,My wife and I ate here earlier this week and have not stopped ranting and raving about the food.,FOOD#QUALITY,positive,food,91,95
462,1431154:1,If you like spicy food get the chicken vindaloo.,FOOD#QUALITY,positive,chicken vindaloo,31,47
463,1431154:2,It's very spicy but not offensive.,FOOD#QUALITY,positive,NULL,0,0
464,1431154:3,We will definitely go back.,RESTAURANT#GENERAL,positive,NULL,0,0
465,1432551:0,Go to Volare for 1st class service and terrific food.,SERVICE#GENERAL,positive,service,27,34
465,1432551:0,Go to Volare for 1st class service and terrific food.,FOOD#QUALITY,positive,food,48,52
466,1432551:1,The portions are large and the servers always surprise us with a different starter.,FOOD#STYLE_OPTIONS,positive,portions,4,12
466,1432551:1,The portions are large and the servers always surprise us with a different starter.,SERVICE#GENERAL,positive,servers,31,38
467,1432551:2,The wine list is excellent.,DRINKS#STYLE_OPTIONS,positive,wine list,4,13
468,1439875:0,The food is amazing... especially if you get the Chef's tasting menu and your favourite bottle (or two!) of wine from an extensive selection of wines.,FOOD#QUALITY,positive,food,4,8
468,1439875:0,The food is amazing... especially if you get the Chef's tasting menu and your favourite bottle (or two!) of wine from an extensive selection of wines.,DRINKS#STYLE_OPTIONS,positive,selection of wines,131,149
468,1439875:0,The food is amazing... especially if you get the Chef's tasting menu and your favourite bottle (or two!) of wine from an extensive selection of wines.,FOOD#QUALITY,positive,Chef's tasting menu,49,68
469,1439875:1,"The place is small and intimate and you may feel a little crowded, but the service is excellent and it's great for friends out, a romantic date, or a special occassion.",SERVICE#GENERAL,positive,service,75,82
469,1439875:1,"The place is small and intimate and you may feel a little crowded, but the service is excellent and it's great for friends out, a romantic date, or a special occassion.",AMBIENCE#GENERAL,negative,place,4,9
469,1439875:1,"The place is small and intimate and you may feel a little crowded, but the service is excellent and it's great for friends out, a romantic date, or a special occassion.",RESTAURANT#MISCELLANEOUS,positive,place,4,9
471,1439875:3,The food can get pricey but the prixe fixe tasting menu is the greatest food for a good price and they cater the food to any food allergies or food you don't like.,FOOD#PRICES,negative,food,4,8
471,1439875:3,The food can get pricey but the prixe fixe tasting menu is the greatest food for a good price and they cater the food to any food allergies or food you don't like.,FOOD#QUALITY,positive,prixe fixe tasting menu,32,55
471,1439875:3,The food can get pricey but the prixe fixe tasting menu is the greatest food for a good price and they cater the food to any food allergies or food you don't like.,FOOD#PRICES,positive,prixe fixe tasting menu,32,55
471,1439875:3,The food can get pricey but the prixe fixe tasting menu is the greatest food for a good price and they cater the food to any food allergies or food you don't like.,SERVICE#GENERAL,positive,NULL,0,0
473,1439875:5,Please be aware that it's CASH or AMEX only!,RESTAURANT#MISCELLANEOUS,neutral,NULL,0,0
474,1448587:0,"With the exception of our lemon salad that had so much pepper on it that our eyes started watering, the food here was decent, not great.",FOOD#QUALITY,neutral,food,104,108
474,1448587:0,"With the exception of our lemon salad that had so much pepper on it that our eyes started watering, the food here was decent, not great.",FOOD#QUALITY,negative,lemon salad,26,37
475,1448587:1,The menu is very limited - i think we counted 4 or 5 entrees.,FOOD#STYLE_OPTIONS,negative,menu,4,8
476,1448587:2,"We ordered the special, grilled branzino, that was so infused with bone, it was difficult to eat.",FOOD#QUALITY,negative,grilled branzino,24,40
477,1448587:3,"The decor in this place is very diner-ish and the kind of place you expect in the East Village - not romantic, just simple, small and sparse.",AMBIENCE#GENERAL,neutral,decor,4,9
478,1448587:4,Problem is nothing at Prune is particularly memorable.,RESTAURANT#GENERAL,negative,Prune,22,27
479,1448587:5,No plans to return anytime soon.,RESTAURANT#GENERAL,negative,NULL,0,0
480,1451107:0,This place is so much fun.,AMBIENCE#GENERAL,positive,place,5,10
481,1451107:1,Our family never expected such incredible entertainment in a restaurant.,RESTAURANT#GENERAL,positive,restaurant,61,71
484,1451107:4,Our food was great too!,FOOD#QUALITY,positive,food,4,8
485,1451107:5,And really large portions.,FOOD#STYLE_OPTIONS,positive,portions,17,25
486,1451107:6,The staff was the friendliest that have seen in New York.,SERVICE#GENERAL,positive,staff,4,9
487,1451107:7,We will go back every time we are in the City.,RESTAURANT#GENERAL,positive,NULL,0,0
488,1451109:0,If you want something really different than try Jekyll and Hyde.,RESTAURANT#GENERAL,positive,Jekyll and Hyde,48,63
489,1451109:1,It is a lot of fun with live entertainment and all kinds of Disney type special effects.,AMBIENCE#GENERAL,positive,NULL,0,0
490,1451109:2,The food was pretty tradional but it was hot and good with large portions.,FOOD#QUALITY,positive,food,4,8
490,1451109:2,The food was pretty tradional but it was hot and good with large portions.,FOOD#STYLE_OPTIONS,positive,portions,65,73
491,1451109:3,I highly recommend it.,RESTAURANT#GENERAL,positive,NULL,0,0
493,1457607:0,The place is a lot of fun.,AMBIENCE#GENERAL,positive,place,4,9
494,1457607:1,My six year old loved it.,RESTAURANT#GENERAL,positive,NULL,0,0
495,1457607:2,The characters really make for an enjoyable experience.,AMBIENCE#GENERAL,positive,characters,4,14
496,1457607:3,"The food however, is what one might expect.",FOOD#QUALITY,negative,food,4,8
497,1457607:4,It is very overpriced and not very tasty.,FOOD#QUALITY,negative,NULL,0,0
497,1457607:4,It is very overpriced and not very tasty.,FOOD#PRICES,negative,NULL,0,0
498,1457607:5,"However, I think Jeckll and Hydes t is one of those places that is fun to do once.",RESTAURANT#GENERAL,positive,Jeckll and Hydes,17,33
499,1457607:6,We had a good time.,RESTAURANT#GENERAL,positive,NULL,0,0
500,1459569:0,Went there with my wife and we had to wait for a table even though you could see there many that were empty with not reservation sigh on them.,SERVICE#GENERAL,negative,NULL,0,0
501,1459569:1,Service was slow had to wait to order and get food although not crowded.,SERVICE#GENERAL,negative,Service,0,7
502,1459569:2,Drinks way over priced.,DRINKS#PRICES,negative,Drinks,0,6
503,1459569:3,Food was good not great not worth the wait or another visit,FOOD#QUALITY,neutral,Food,0,4
503,1459569:3,Food was good not great not worth the wait or another visit,RESTAURANT#GENERAL,negative,NULL,0,0
504,1460715:0,Great pizza for lunch place.,FOOD#QUALITY,positive,pizza,6,11
505,1460715:1,Service was quick.,SERVICE#GENERAL,positive,Service,0,7
506,1460715:2,The pizza was great.,FOOD#QUALITY,positive,pizza,4,9
507,1460715:3,And it was quick which is very important.,SERVICE#GENERAL,positive,NULL,0,0
508,1460715:4,Have the iced tea.,DRINKS#QUALITY,positive,iced tea,9,17
509,1460715:5,It was wonderful.,DRINKS#QUALITY,positive,NULL,0,0
510,1470286:0,"Whenever you need a Sushi fix, Mizu will be there with quality fish and great service.",FOOD#QUALITY,positive,fish,63,67
510,1470286:0,"Whenever you need a Sushi fix, Mizu will be there with quality fish and great service.",SERVICE#GENERAL,positive,service,78,85
511,1470286:1,Delivery is fast too.,SERVICE#GENERAL,positive,Delivery,0,8
512,1470286:2,"Great friendly service, Fast seating, Fast Delivery, Excellent sushi.",SERVICE#GENERAL,positive,service,15,22
512,1470286:2,"Great friendly service, Fast seating, Fast Delivery, Excellent sushi.",SERVICE#GENERAL,positive,seating,29,36
512,1470286:2,"Great friendly service, Fast seating, Fast Delivery, Excellent sushi.",SERVICE#GENERAL,positive,Delivery,43,51
512,1470286:2,"Great friendly service, Fast seating, Fast Delivery, Excellent sushi.",FOOD#QUALITY,positive,sushi,63,68
513,1470286:3,A little overpriced but worth it once you take a bite.,FOOD#PRICES,negative,NULL,0,0
513,1470286:3,A little overpriced but worth it once you take a bite.,FOOD#QUALITY,positive,NULL,0,0
515,1470334:1,Ess-A-Bagel (either by Sty-town or midtown) is by far the best bagel in NY.,FOOD#QUALITY,positive,bagel,63,68
516,1470334:2,"The bagels always warm, soft on the inside, crispy on the outside and enormous in size.",FOOD#QUALITY,positive,bagels,4,10
516,1470334:2,"The bagels always warm, soft on the inside, crispy on the outside and enormous in size.",FOOD#STYLE_OPTIONS,positive,bagels,4,10
517,1470334:3,They have a huge selection of different cream cheeses and all of their salads are great.,FOOD#QUALITY,positive,salads,71,77
517,1470334:3,They have a huge selection of different cream cheeses and all of their salads are great.,FOOD#STYLE_OPTIONS,positive,cream cheeses,40,53
518,1470334:4,The lox is always fresh too.,FOOD#QUALITY,positive,lox,4,7
519,1470334:5,Highly recommended to all!,RESTAURANT#GENERAL,positive,NULL,0,0
522,1471273:2,Not impressed with the food.,FOOD#QUALITY,negative,food,23,27
523,1471273:3,Prices too high for this cramped and unappealing resturant.,RESTAURANT#PRICES,negative,resturant,49,58
523,1471273:3,Prices too high for this cramped and unappealing resturant.,AMBIENCE#GENERAL,negative,resturant,49,58
524,1471273:4,Zero ambiance to boot.,AMBIENCE#GENERAL,negative,ambiance,5,13
525,1476493:0,I thought this place was totally overrated.,RESTAURANT#GENERAL,negative,place,15,20
526,1476493:1,Everything we had was good or ok....but definitely nothing great.,RESTAURANT#GENERAL,neutral,NULL,0,0
527,1476493:2,"The ambience was nice, but service wasn't so great.",AMBIENCE#GENERAL,positive,ambience,4,12
527,1476493:2,"The ambience was nice, but service wasn't so great.",SERVICE#GENERAL,negative,service,27,34
528,1476493:3,"When you add it all together, it just doesn't seem worth it to me...especially considering the prices.",RESTAURANT#GENERAL,negative,NULL,0,0
528,1476493:3,"When you add it all together, it just doesn't seem worth it to me...especially considering the prices.",RESTAURANT#PRICES,negative,NULL,0,0
529,1477631:0,This is the BEST Shabu-Shabu Restaurant in the Try-State Area.,RESTAURANT#GENERAL,positive,Shabu-Shabu Restaurant,17,39
530,1477631:1,I have lived in Japan for 7 years and the taste of the food and the feel of the restaurant is like being back in Japan.,FOOD#QUALITY,positive,food,55,59
530,1477631:1,I have lived in Japan for 7 years and the taste of the food and the feel of the restaurant is like being back in Japan.,AMBIENCE#GENERAL,positive,feel,68,72
531,1477631:2,Thius is a must for anyone who loves Shabu-Shabu.,FOOD#QUALITY,positive,Shabu-Shabu,37,48
532,1486041:0,"The atmosphere is nothing special, but it feels like a Sushi establishment in Tokyo.",AMBIENCE#GENERAL,positive,atmosphere,4,14
533,1486041:1,The owner and staff are all Japanese as well and that adds to the entire ambiance.,RESTAURANT#MISCELLANEOUS,positive,owner,4,9
533,1486041:1,The owner and staff are all Japanese as well and that adds to the entire ambiance.,RESTAURANT#MISCELLANEOUS,positive,staff,14,19
533,1486041:1,The owner and staff are all Japanese as well and that adds to the entire ambiance.,AMBIENCE#GENERAL,positive,ambiance,73,81
534,1486041:2,"Despite a slightly limited menu, everything prepared is done to perfection, ultra fresh and a work of food art.",FOOD#STYLE_OPTIONS,negative,menu,27,31
534,1486041:2,"Despite a slightly limited menu, everything prepared is done to perfection, ultra fresh and a work of food art.",FOOD#QUALITY,positive,NULL,0,0
534,1486041:2,"Despite a slightly limited menu, everything prepared is done to perfection, ultra fresh and a work of food art.",FOOD#STYLE_OPTIONS,positive,NULL,0,0
535,1486041:3,I must give it Yon out of Yon stars!,RESTAURANT#GENERAL,positive,NULL,0,0
536,1486041:4,Taxan delicious!,FOOD#QUALITY,positive,Taxan,0,5
538,1490757:0,"This restaurant was recommended by a local...as a matter of fact, he made the reservation for us and said we would not be disappointed!",RESTAURANT#GENERAL,positive,NULL,5,15
540,1490757:2,The prices were CHEAP compared to the quality of service and food.,RESTAURANT#PRICES,positive,NULL,0,0
540,1490757:2,The prices were CHEAP compared to the quality of service and food.,SERVICE#GENERAL,positive,service,49,56
540,1490757:2,The prices were CHEAP compared to the quality of service and food.,FOOD#QUALITY,positive,food,61,65
541,1490757:3,"We liked it so much, that we will always make it a point to dine here when we visit New York.",RESTAURANT#GENERAL,positive,NULL,0,0
543,1496205:1,The location and ambience is Ok but the food is what makes up for it.,LOCATION#GENERAL,neutral,location,4,12
543,1496205:1,The location and ambience is Ok but the food is what makes up for it.,AMBIENCE#GENERAL,neutral,ambience,17,25
543,1496205:1,The location and ambience is Ok but the food is what makes up for it.,FOOD#QUALITY,positive,food,40,44
544,1496205:2,There is a lot of variety even for people who eat vegetarian like me.,FOOD#STYLE_OPTIONS,positive,NULL,0,0
545,1496205:3,Try green curry with vegetables.,FOOD#QUALITY,positive,green curry with vegetables,4,31
546,1496205:4,"The quantity is also very good, you will come out satisfied.",FOOD#STYLE_OPTIONS,positive,NULL,0,0
547,1496205:5,"The service is ok, some of the people didn't get what they asked for.",SERVICE#GENERAL,neutral,service,4,11
548,1496707:0,I was there on sat. for my birthday and we had an excellent time.,RESTAURANT#GENERAL,positive,NULL,0,0
549,1496707:1,I had the best ravioli ever.,FOOD#QUALITY,positive,ravioli,15,22
550,1496707:2,The wine the service was very good too.,DRINKS#QUALITY,positive,wine,4,8
550,1496707:2,The wine the service was very good too.,SERVICE#GENERAL,positive,service,13,20
551,1496707:3,Moderate prices.,RESTAURANT#PRICES,neutral,NULL,0,0
552,1496707:4,A little noise but I think that was because of our party!,AMBIENCE#GENERAL,neutral,NULL,0,0
554,1500453:1,This quaint and romantic trattoria is at the top of my Manhattan restaurant list.,AMBIENCE#GENERAL,positive,trattoria,25,34
554,1500453:1,This quaint and romantic trattoria is at the top of my Manhattan restaurant list.,RESTAURANT#GENERAL,positive,trattoria,25,34
555,1500453:2,"The food is delicious - from the specials to the regular menu-fare, the dishes are never a disappointment.",FOOD#QUALITY,positive,food,4,8
555,1500453:2,"The food is delicious - from the specials to the regular menu-fare, the dishes are never a disappointment.",FOOD#QUALITY,positive,dishes,72,78
555,1500453:2,"The food is delicious - from the specials to the regular menu-fare, the dishes are never a disappointment.",FOOD#QUALITY,positive,specials,33,41
555,1500453:2,"The food is delicious - from the specials to the regular menu-fare, the dishes are never a disappointment.",FOOD#QUALITY,positive,regular menu-fare,49,66
556,1500453:3,"Whether it's the parmesean porcini souffle or the lamb glazed with balsamic vinegar, you will surely be transported to Northern Italy with one bite.",FOOD#QUALITY,positive,parmesean porcini souffle,17,42
556,1500453:3,"Whether it's the parmesean porcini souffle or the lamb glazed with balsamic vinegar, you will surely be transported to Northern Italy with one bite.",FOOD#QUALITY,positive,lamb glazed with balsamic vinegar,50,83
557,1500453:4,"Although the tables may be closely situated, the candle-light, food-quality and service overcompensate.",AMBIENCE#GENERAL,positive,candle-light,49,61
557,1500453:4,"Although the tables may be closely situated, the candle-light, food-quality and service overcompensate.",FOOD#QUALITY,positive,food,63,67
557,1500453:4,"Although the tables may be closely situated, the candle-light, food-quality and service overcompensate.",SERVICE#GENERAL,positive,service,80,87
557,1500453:4,"Although the tables may be closely situated, the candle-light, food-quality and service overcompensate.",AMBIENCE#GENERAL,negative,tables,13,19
558,1500453:5,A guaranteeed delight!,RESTAURANT#GENERAL,positive,NULL,0,0
559,1506491:0,"I have known about this secret for the last 13 years, Emilio(the Godfather) has continued to serve food and wine for the gods at mortal prices.",FOOD#QUALITY,positive,food,99,103
559,1506491:0,"I have known about this secret for the last 13 years, Emilio(the Godfather) has continued to serve food and wine for the gods at mortal prices.",DRINKS#QUALITY,positive,wine,108,112
559,1506491:0,"I have known about this secret for the last 13 years, Emilio(the Godfather) has continued to serve food and wine for the gods at mortal prices.",FOOD#PRICES,positive,food,99,103
559,1506491:0,"I have known about this secret for the last 13 years, Emilio(the Godfather) has continued to serve food and wine for the gods at mortal prices.",DRINKS#PRICES,positive,wine,108,112
560,1506491:1,"If you go, try the marinara/arrabiatta sauce, the mozzarella en Carozza is mmmmmmmm..... everything is just delicious.",FOOD#QUALITY,positive,marinara/arrabiatta sauce,19,44
560,1506491:1,"If you go, try the marinara/arrabiatta sauce, the mozzarella en Carozza is mmmmmmmm..... everything is just delicious.",FOOD#QUALITY,positive,mozzarella en Carozza,50,71
560,1506491:1,"If you go, try the marinara/arrabiatta sauce, the mozzarella en Carozza is mmmmmmmm..... everything is just delicious.",FOOD#QUALITY,positive,NULL,0,0
561,1506491:2,Check out the secret back room.,AMBIENCE#GENERAL,positive,back room,21,30
563,1506491:4,I pray it stays open forever.,RESTAURANT#GENERAL,positive,NULL,0,0
564,1506491:5,Thank You Emilio.,RESTAURANT#GENERAL,positive,Emilio,10,16
566,1538149:0,"I found the food, service and value exceptional everytime I have been there.",FOOD#QUALITY,positive,food,12,16
566,1538149:0,"I found the food, service and value exceptional everytime I have been there.",SERVICE#GENERAL,positive,service,18,25
566,1538149:0,"I found the food, service and value exceptional everytime I have been there.",RESTAURANT#PRICES,positive,NULL,0,0
567,1538149:1,The food was authentic.,FOOD#QUALITY,positive,food,4,8
568,1538149:2,I felt as though I were eating in Paris.,FOOD#QUALITY,positive,NULL,0,0
569,1538149:3,The service was excellent - friendly and attentive.,SERVICE#GENERAL,positive,service,4,11
570,1538149:4,The prices are wonderfully low.,RESTAURANT#PRICES,positive,NULL,0,0
571,1538149:5,Very good wine choices.,DRINKS#STYLE_OPTIONS,positive,wine choices,10,22
573,1543345:1,Who has room for Cheesesticks with the best pizza in NYC!,FOOD#QUALITY,positive,pizza,44,49
574,1543345:2,Get the pepperoni - YUM - and a family style salad.,FOOD#QUALITY,positive,pepperoni,8,17
574,1543345:2,Get the pepperoni - YUM - and a family style salad.,FOOD#QUALITY,positive,family style salad,32,50
575,1543345:3,Great staff.,SERVICE#GENERAL,positive,staff,6,11
576,1543345:4,Always great service!,SERVICE#GENERAL,positive,service,13,20
577,1543345:5,I go twice a month!,RESTAURANT#GENERAL,positive,NULL,0,0
578,1543345:6,Fantastic!,RESTAURANT#GENERAL,positive,NULL,0,0
579,1561259:0,"The food is good, I can't lie.",FOOD#QUALITY,positive,food,4,8
580,1561259:1,But the staff was so horrible to us.,SERVICE#GENERAL,negative,staff,8,13
581,1561259:2,The hostess and the waitress were incredibly rude and did everything they could to rush us out.,SERVICE#GENERAL,negative,hostess,4,11
581,1561259:2,The hostess and the waitress were incredibly rude and did everything they could to rush us out.,SERVICE#GENERAL,negative,waitress,20,28
582,1561259:3,We were planning to get dessert but the waitress basically through the bill at us before we had a chance to order.,SERVICE#GENERAL,negative,waitress,40,48
583,1561259:4,"This place is pricey, and yes, the food is worth it; but the service makes you feel like you should be paying a quater of the price.",RESTAURANT#PRICES,negative,place,5,10
583,1561259:4,"This place is pricey, and yes, the food is worth it; but the service makes you feel like you should be paying a quater of the price.",FOOD#QUALITY,positive,food,35,39
583,1561259:4,"This place is pricey, and yes, the food is worth it; but the service makes you feel like you should be paying a quater of the price.",SERVICE#GENERAL,negative,service,61,68
584,1561259:5,Save yourself the time and trouble and skip this one!,RESTAURANT#GENERAL,negative,NULL,0,0
586,1572027:1,Amma is nothing special.,RESTAURANT#GENERAL,neutral,Amma,0,4
588,1572027:3,I ate here a week ago and found most dishes average at best and too expensive.,FOOD#QUALITY,negative,dishes,37,43
588,1572027:3,I ate here a week ago and found most dishes average at best and too expensive.,FOOD#PRICES,negative,dishes,37,43
589,1572027:4,Will not be back.,RESTAURANT#GENERAL,negative,NULL,0,0
590,1572033:0,"Don't dine at Tamarind for the vegetarian dishes, they are simply not up to par with the non-veg selections.",FOOD#QUALITY,negative,vegetarian dishes,31,48
590,1572033:0,"Don't dine at Tamarind for the vegetarian dishes, they are simply not up to par with the non-veg selections.",FOOD#QUALITY,positive,non-veg selections,89,107
591,1572033:1,Decor is nice though service can be spotty.,AMBIENCE#GENERAL,positive,Decor,0,5
591,1572033:1,Decor is nice though service can be spotty.,SERVICE#GENERAL,negative,service,21,28
592,1572033:2,This place is always packed.,RESTAURANT#MISCELLANEOUS,neutral,place,5,10
594,1572033:4,"Most importantly, food is excellent.",FOOD#QUALITY,positive,food,18,22
595,1572033:5,Try the sea bass.,FOOD#QUALITY,positive,sea bass,8,16
596,1572033:6,Highly recommended.,RESTAURANT#GENERAL,positive,NULL,0,0
597,1573534:0,First of all Dal Bukhara Rocks.,FOOD#QUALITY,positive,Dal Bukhara,13,24
600,1573534:3,I am happy i did the food was awsome.,FOOD#QUALITY,positive,food,21,25
601,1573534:4,JUST AWSOME.,FOOD#QUALITY,positive,NULL,0,0
602,1573534:5,and yes Dal Bukhara is so dam good and so are all the kababs.,FOOD#QUALITY,positive,kababs,54,60
602,1573534:5,and yes Dal Bukhara is so dam good and so are all the kababs.,FOOD#QUALITY,positive,Dal Bukhara,8,19
604,1573534:7,but overall i give it a 10,RESTAURANT#GENERAL,positive,NULL,0,0
605,1573534:8,10,RESTAURANT#GENERAL,positive,NULL,0,0
607,1577714:1,Haru on Park S is simply disgusting.,RESTAURANT#GENERAL,negative,Haru on Park S,0,14
608,1577714:2,The fish was not fresh and the rice tasted old and stale.,FOOD#QUALITY,negative,fish,4,8
608,1577714:2,The fish was not fresh and the rice tasted old and stale.,FOOD#QUALITY,negative,rice,31,35
609,1577714:3,"Quite frankly, this is some of the worst sushi I have ever tried.",FOOD#QUALITY,negative,sushi,41,46
610,1577714:4,Will never be back.,RESTAURANT#GENERAL,negative,NULL,0,0
611,1586174:0,honestly the worst sushi my husband and i had in our entire lives.,FOOD#QUALITY,negative,sushi,19,24
613,1586174:2,not sure why this restaurant would be rated that highly.,RESTAURANT#GENERAL,negative,restaurant,18,28
614,1586174:3,the all-u-can-eat sushi is definitely in very poor quality.,FOOD#QUALITY,negative,all-u-can-eat sushi,4,23
615,1586174:4,"limited menu, no-so-fresh ingredients, thinly-sliced fish, fall-apart rice. ",FOOD#STYLE_OPTIONS,negative,menu,8,12
615,1586174:4,"limited menu, no-so-fresh ingredients, thinly-sliced fish, fall-apart rice. ",FOOD#QUALITY,negative,ingredients,26,37
615,1586174:4,"limited menu, no-so-fresh ingredients, thinly-sliced fish, fall-apart rice. ",FOOD#STYLE_OPTIONS,negative,fish,53,57
615,1586174:4,"limited menu, no-so-fresh ingredients, thinly-sliced fish, fall-apart rice. ",FOOD#STYLE_OPTIONS,negative,rice,70,74
616,1586174:5,"the only things u could really taste are the very salty soy sauce (even its low sodium), the vinegar-soaked rice, and the scallion on top of the fish. ",FOOD#QUALITY,negative,soy sauce,56,65
616,1586174:5,"the only things u could really taste are the very salty soy sauce (even its low sodium), the vinegar-soaked rice, and the scallion on top of the fish. ",FOOD#QUALITY,negative,rice,108,112
617,1586174:6,the waitstaffs are nice though.,SERVICE#GENERAL,positive,waitstaffs,4,14
618,1586174:7,wont come back again for sure!,RESTAURANT#GENERAL,negative,NULL,0,0
619,1603698:0,I have been to Roth's twice and both times were very disappointing.,RESTAURANT#GENERAL,negative,Roth's,15,21
621,1603698:2,"Both times I was extremely dissappointed by the service, which was boarderline rude.",SERVICE#GENERAL,negative,service,48,55
622,1603698:3,They wouldnt even let me finish my glass of wine before offering another.,SERVICE#GENERAL,negative,NULL,0,0
623,1603698:4,Much of the time it seems like they do not care about you.,SERVICE#GENERAL,negative,NULL,0,0
624,1603698:5,"The dinner was ok, nothing I would have again.",FOOD#QUALITY,negative,dinner,4,10
625,1603698:6,"I had their eggs benedict for brunch, which were the worst in my entire life, I tried removing the hollondaise sauce completely that was how failed it was.",FOOD#QUALITY,negative,eggs benedict,12,25
626,1606837:0,This was a great surprise.,RESTAURANT#GENERAL,positive,NULL,0,0
627,1606837:1,With the theater 2 blocks away we had a delicious meal in a beautiful room.,FOOD#QUALITY,positive,meal,50,54
627,1606837:1,With the theater 2 blocks away we had a delicious meal in a beautiful room.,AMBIENCE#GENERAL,positive,room,70,74
627,1606837:1,With the theater 2 blocks away we had a delicious meal in a beautiful room.,LOCATION#GENERAL,positive,NULL,0,0
628,1606837:2,The service was attentive.,SERVICE#GENERAL,positive,service,4,11
629,1606837:3,I look forward to eating here again,RESTAURANT#GENERAL,positive,NULL,0,0
630,1609375:0,Planet Thai is great!,RESTAURANT#GENERAL,positive,Planet Thai,0,11
631,1609375:1,"We love the food, drinks, and atmosphere!",FOOD#QUALITY,positive,food,12,16
631,1609375:1,"We love the food, drinks, and atmosphere!",DRINKS#QUALITY,positive,drinks,18,24
631,1609375:1,"We love the food, drinks, and atmosphere!",AMBIENCE#GENERAL,positive,atmosphere,30,40
632,1609375:2,"The svc can be a bit rude at times, esp if you have big group, but overall the restaurant is a must!",SERVICE#GENERAL,negative,svc,4,7
632,1609375:2,"The svc can be a bit rude at times, esp if you have big group, but overall the restaurant is a must!",RESTAURANT#GENERAL,positive,restaurant,79,89
633,1609375:3,"Try the Pad Thai, it's fabulous and their prices are so cheap!",FOOD#QUALITY,positive,Pad Thai,8,16
633,1609375:3,"Try the Pad Thai, it's fabulous and their prices are so cheap!",RESTAURANT#PRICES,positive,NULL,0,0
634,1609375:4,"Just because it's cheap does NOT mean the portions are small or the food is nasty, IT IS GREAT!",FOOD#STYLE_OPTIONS,positive,portions,42,50
634,1609375:4,"Just because it's cheap does NOT mean the portions are small or the food is nasty, IT IS GREAT!",FOOD#QUALITY,positive,food,68,72
634,1609375:4,"Just because it's cheap does NOT mean the portions are small or the food is nasty, IT IS GREAT!",RESTAURANT#PRICES,positive,NULL,0,0
637,1611489:0,"They forgot a sandwich, didn't include plastic forks, and didn't include pita with the hummus platter.",SERVICE#GENERAL,negative,NULL,0,0
638,1611489:1,"Also, the sandwiches (nearing $7) didn't come with anything like chips or a side.",FOOD#STYLE_OPTIONS,negative,sandwiches,10,20
638,1611489:1,"Also, the sandwiches (nearing $7) didn't come with anything like chips or a side.",FOOD#PRICES,negative,sandwiches,10,20
639,1611489:2,"Overall, not worth the money.",RESTAURANT#GENERAL,negative,NULL,0,0
639,1611489:2,"Overall, not worth the money.",RESTAURANT#PRICES,negative,NULL,0,0
640,1611489:3,"Eating in, the atmosphere saves it, but at your desk, it's a very disappointing experience.",AMBIENCE#GENERAL,positive,atmosphere,15,25
640,1611489:3,"Eating in, the atmosphere saves it, but at your desk, it's a very disappointing experience.",RESTAURANT#GENERAL,negative,NULL,0,0
642,1615322:1,Chennai Garden is my favorite Indian restaurant in the city.,RESTAURANT#GENERAL,positive,Chennai Garden,0,14
643,1615322:2,They have authentic Indian at amazin prices.,FOOD#QUALITY,positive,Indian,20,26
643,1615322:2,They have authentic Indian at amazin prices.,FOOD#PRICES,positive,Indian,20,26
644,1615322:3,This restaurant is VEGETARIAN; there are NO MEAT dishes whatsoever.,FOOD#STYLE_OPTIONS,negative,dishes,49,55
645,1615322:4,The seats are uncomfortable if you are sitting against the wall on wooden benches.,AMBIENCE#GENERAL,negative,seats,4,9
646,1615322:5,It's a rather cramped and busy restaurant and it closes early.,RESTAURANT#MISCELLANEOUS,negative,restaurant,31,41
646,1615322:5,It's a rather cramped and busy restaurant and it closes early.,AMBIENCE#GENERAL,negative,restaurant,31,41
647,1623276:0,Patroon features a nice cigar bar and has great staff.,AMBIENCE#GENERAL,positive,cigar bar,24,33
647,1623276:0,Patroon features a nice cigar bar and has great staff.,SERVICE#GENERAL,positive,staff,48,53
648,1623276:1,The food is tasty and portion sizes are appropriate.,FOOD#QUALITY,positive,food,4,8
648,1623276:1,The food is tasty and portion sizes are appropriate.,FOOD#STYLE_OPTIONS,positive,portion sizes,22,35
649,1623276:2,This is a nice restaurant if you are looking for a good place to host an intimate dinner meeting with business associates.,RESTAURANT#MISCELLANEOUS,positive,restaurant,15,25
650,1623276:3,Not a great place for family or general dining.,RESTAURANT#MISCELLANEOUS,negative,place,12,17
651,1626564:0,LLOOVVE THIS PLACE.,RESTAURANT#GENERAL,positive,PLACE,13,18
652,1626564:1,Food is excellent.,FOOD#QUALITY,positive,Food,0,4
653,1626564:2,Fish is so very fresh.,FOOD#QUALITY,positive,Fish,0,4
654,1626564:3,Waitstaff are very friendly.,SERVICE#GENERAL,positive,Waitstaff,0,9
655,1626564:4,Love YUKA.,RESTAURANT#GENERAL,positive,YUKA,5,9
656,1632445:0,Mermaid Inn is an overall good restaurant with really good seafood.,FOOD#QUALITY,positive,seafood,59,66
656,1632445:0,Mermaid Inn is an overall good restaurant with really good seafood.,RESTAURANT#GENERAL,positive,Mermaid Inn,0,11
