re_idx,idx,sentence,category,polarity
541,345:3,"while the keyboard itself is alright, the plate around it is cheap plastic and makes a hollow sound when using the mouse command buttons.",LAPTOP#QUALITY,negative
542,341:0,"I am overall very pleased with my toshiba satellite, I like the extra features, I love the windows 7 home premium.",LAPTOP#GENERAL,positive
542,341:0,"I am overall very pleased with my toshiba satellite, I like the extra features, I love the windows 7 home premium.",LAPTOP#DESIGN_FEATURES,positive
542,341:0,"I am overall very pleased with my toshiba satellite, I like the extra features, I love the windows 7 home premium.",OS#GENERAL,positive
543,341:1,"The battery life has not decreased since I bought it, so i'm thrilled with that.",BATTERY#OPERATION_PERFORMANCE,positive
543,341:1,"The battery life has not decreased since I bought it, so i'm thrilled with that.",BATTERY#QUALITY,positive
544,341:2,"I also love the design, the looks, the feel, and the my toshiba feature is wonderfull.",LAPTOP#DESIGN_FEATURES,positive
544,341:2,"I also love the design, the looks, the feel, and the my toshiba feature is wonderfull.",LAPTOP#QUALITY,positive
545,341:3,I would easly reccomend this laptop to a friend.,LAPTOP#GENERAL,positive
546,334:0,Couldnt not use it.,LAPTOP#USABILITY,negative
547,334:1,Tried to make a recovey disk wouldnt get passed the first recovery disk.,LAPTOP#USABILITY,negative
548,334:2,defective software.,SOFTWARE#QUALITY,negative
549,334:3,returned it to walmart.,LAPTOP#GENERAL,negative
551,327:0,I would like to have volume buttons rather than the adjustment that is on the front.,LAPTOP#DESIGN_FEATURES,negative
552,327:1,I also had a problem with the touchpad that caused the mouse pointer to jump all over the screen.,MOUSE#OPERATION_PERFORMANCE,negative
553,327:2,I went to Toshiba online help and found some suggestions to fix it.,SUPPORT#QUALITY,positive
554,327:3,One of them seems to have worked.,SUPPORT#QUALITY,positive
555,329:0,Its a good laptop for its value.,LAPTOP#GENERAL,positive
555,329:0,Its a good laptop for its value.,LAPTOP#PRICE,neutral
556,329:1,Registration/1st use is easy.,LAPTOP#USABILITY,positive
557,329:2,Features like the font are very block-like and old school.,LAPTOP#DESIGN_FEATURES,negative
558,329:3,"Would like more trendy, high tech features.",LAPTOP#DESIGN_FEATURES,negative
559,329:4,The start menu is not the easiest thing to navigate due to the stacking.,OS#USABILITY,negative
560,329:5,Keys stick periodically and I havent had the laptop for 45 days yet.,KEYBOARD#OPERATION_PERFORMANCE,negative
560,329:5,Keys stick periodically and I havent had the laptop for 45 days yet.,KEYBOARD#QUALITY,negative
561,329:6,Came fully loaded - good.,LAPTOP#DESIGN_FEATURES,positive
562,329:7,"Seems to slow down occassionally but can run many applications (ie Internet tabs, programs, etc) simultaneously.",LAPTOP#OPERATION_PERFORMANCE,positive
563,333:0,I'm really impressed with the quality and performance for the price of the computer.,LAPTOP#QUALITY,positive
563,333:0,I'm really impressed with the quality and performance for the price of the computer.,LAPTOP#OPERATION_PERFORMANCE,positive
563,333:0,I'm really impressed with the quality and performance for the price of the computer.,LAPTOP#PRICE,neutral
564,333:1,"Graphics are clean and sharp, internet interfaces are seamless.",GRAPHICS#QUALITY,positive
564,333:1,"Graphics are clean and sharp, internet interfaces are seamless.",LAPTOP#CONNECTIVITY,positive
565,333:2,"Only issue is that it is a little slow, and I'm fixing that by adding more RAM.",LAPTOP#OPERATION_PERFORMANCE,negative
565,333:2,"Only issue is that it is a little slow, and I'm fixing that by adding more RAM.",MEMORY#DESIGN_FEATURES,neutral
566,333:3,Sound card is limited though.,MULTIMEDIA_DEVICES#DESIGN_FEATURES,negative
567,5:0,"The laptop is very lightweight, can easily carry around in a knapsack full of text books and it barely adds any weight.",LAPTOP#DESIGN_FEATURES,positive
567,5:0,"The laptop is very lightweight, can easily carry around in a knapsack full of text books and it barely adds any weight.",LAPTOP#PORTABILITY,positive
568,5:1,It is small enough to fit in one of my purses!,LAPTOP#DESIGN_FEATURES,positive
569,5:2,"Windows 7 Starter is terrific (no you can't change the background) but I don't need to, I use it just for school work.",OS#GENERAL,positive
569,5:2,"Windows 7 Starter is terrific (no you can't change the background) but I don't need to, I use it just for school work.",OS#USABILITY,neutral
570,5:3,"The battery life is amazing, the versitility is outstanding.",BATTERY#OPERATION_PERFORMANCE,positive
570,5:3,"The battery life is amazing, the versitility is outstanding.",LAPTOP#USABILITY,positive
571,5:4,The ease of set up was terrific.,LAPTOP#USABILITY,positive
572,5:5,I was even able to uninstall McAffe and install one of my Symantec licenses with a no issues whatsoever.,LAPTOP#USABILITY,positive
573,5:6,"I had to adjust my mousepad sensitivity, because it is very sensitive.",MOUSE#OPERATION_PERFORMANCE,negative
574,5:7,"Keyboard is great, very quiet for all the typing that I do.",KEYBOARD#GENERAL,positive
574,5:7,"Keyboard is great, very quiet for all the typing that I do.",KEYBOARD#QUALITY,positive
575,5:8,"Screen is crystal clear, yes it's small - but it's a netbook!",DISPLAY#QUALITY,positive
575,5:8,"Screen is crystal clear, yes it's small - but it's a netbook!",DISPLAY#DESIGN_FEATURES,neutral
576,47:0,Awesome laptop and the perfect size to carry around in college.,LAPTOP#GENERAL,positive
576,47:0,Awesome laptop and the perfect size to carry around in college.,LAPTOP#DESIGN_FEATURES,positive
576,47:0,Awesome laptop and the perfect size to carry around in college.,LAPTOP#PORTABILITY,positive
577,47:1,I couldn't believe how long the battery lasted on a single charge.,BATTERY#OPERATION_PERFORMANCE,positive
578,47:2,I loaded windows 7 via Bootcamp and it works flawlessly!,OS#OPERATION_PERFORMANCE,positive
579,47:3,Simply amazing computer!!,LAPTOP#GENERAL,positive
580,46:0,"I really like the Mac 15.4in. Notebook, but its very pricey.",LAPTOP#GENERAL,positive
580,46:0,"I really like the Mac 15.4in. Notebook, but its very pricey.",LAPTOP#PRICE,negative
582,46:2,"Love the graphics, awesome programs (including Garageband), and really cool default background.",GRAPHICS#GENERAL,positive
582,46:2,"Love the graphics, awesome programs (including Garageband), and really cool default background.",LAPTOP#DESIGN_FEATURES,positive
582,46:2,"Love the graphics, awesome programs (including Garageband), and really cool default background.",SOFTWARE#GENERAL,positive
583,46:3,"But, like I said before, the only reason I don't currently have a Mac laptop is because all of their laptops are too pricey.",LAPTOP#PRICE,negative
584,298:0,"Waiting for the i7 was well worth it, great value for the price.",LAPTOP#GENERAL,positive
584,298:0,"Waiting for the i7 was well worth it, great value for the price.",LAPTOP#PRICE,neutral
585,298:1,"Bigger HD, better graphics card, and a bid HD.",HARD_DISC#DESIGN_FEATURES,positive
585,298:1,"Bigger HD, better graphics card, and a bid HD.",GRAPHICS#GENERAL,positive
586,298:2,There is nothing to complain about the system.,LAPTOP#GENERAL,positive
587,298:3,I have used PC's and converting to this MacBook Pro was easy.,LAPTOP#USABILITY,positive
588,298:4,If you have the money I suggest going for the i7.,LAPTOP#GENERAL,positive
591,393:2,I occassionaly use it for work via VPN and it has not given me any problems.,LAPTOP#MISCELLANEOUS,positive
592,393:3,"The screen is nice and the images comes very clear, the keyboard and the fit just feels right.",DISPLAY#GENERAL,positive
592,393:3,"The screen is nice and the images comes very clear, the keyboard and the fit just feels right.",DISPLAY#QUALITY,positive
592,393:3,"The screen is nice and the images comes very clear, the keyboard and the fit just feels right.",KEYBOARD#QUALITY,positive
592,393:3,"The screen is nice and the images comes very clear, the keyboard and the fit just feels right.",LAPTOP#DESIGN_FEATURES,positive
593,393:4,I consider myself an average user and this computer serves my need.,LAPTOP#GENERAL,positive
594,393:5,The price is another driving influence that made me purchase this laptop.,LAPTOP#PRICE,positive
595,393:6,"I'ts nice to have the higher-end laptops, but this fits my budget and the features I need.",LAPTOP#QUALITY,positive
595,393:6,"I'ts nice to have the higher-end laptops, but this fits my budget and the features I need.",LAPTOP#DESIGN_FEATURES,positive
595,393:6,"I'ts nice to have the higher-end laptops, but this fits my budget and the features I need.",LAPTOP#PRICE,positive
596,393:7,I normally dont participate in reviews/surveys but this laptop has not given me any problems and hope to share my thoughts...,LAPTOP#GENERAL,positive
597,393:8,another satisfied customer.,LAPTOP#GENERAL,positive
598,201:0,The apple MacBook is the best investment that I have ever made.,LAPTOP#GENERAL,positive
600,201:2,The newer MacBook that I have purchased is one of the best computers.,LAPTOP#GENERAL,positive
601,201:3,I am a college student and it has been very useful.,LAPTOP#MISCELLANEOUS,positive
602,201:4,It has all the features that are necessary for college and if not they are able to be added onto the computer.,LAPTOP#DESIGN_FEATURES,positive
602,201:4,It has all the features that are necessary for college and if not they are able to be added onto the computer.,LAPTOP#USABILITY,positive
603,201:5,It has a lot of memory and a great battery life.,MEMORY#DESIGN_FEATURES,positive
603,201:5,It has a lot of memory and a great battery life.,BATTERY#OPERATION_PERFORMANCE,positive
604,201:6,It is sleek and lightweight and charges quickly when needed.,LAPTOP#DESIGN_FEATURES,positive
604,201:6,It is sleek and lightweight and charges quickly when needed.,BATTERY#OPERATION_PERFORMANCE,positive
605,201:7,Its white color is stylish for college students and easy to take to carry and take to classes.,LAPTOP#DESIGN_FEATURES,positive
605,201:7,Its white color is stylish for college students and easy to take to carry and take to classes.,LAPTOP#PORTABILITY,positive
606,201:8,Iphoto is great for adding pictures right to facebook and other social networking sites.,SOFTWARE#MISCELLANEOUS,positive
607,201:9,The internet capabilities are also very strong and picks up signals very easily.,LAPTOP#CONNECTIVITY,positive
610,274:2,I have never had to shut down the computer unexpectedly and the computer has never froze on me.,LAPTOP#OPERATION_PERFORMANCE,positive
611,274:3,"The screen is bright and vivid and the keyboard is very easy to use, very important for use quick typers.",DISPLAY#QUALITY,positive
611,274:3,"The screen is bright and vivid and the keyboard is very easy to use, very important for use quick typers.",KEYBOARD#USABILITY,positive
613,274:5,"Overall, this is a wonderful computer and definitly worth the purchase!",LAPTOP#GENERAL,positive
614,262:0,The graphics are stunning.,GRAPHICS#GENERAL,positive
615,262:1,It's wonderful for computer gaming.,LAPTOP#MISCELLANEOUS,positive
616,262:2,I would definitely suggest this laptop!,LAPTOP#GENERAL,positive
617,262:3,It is very user friendly and not hard to figure out at all.,LAPTOP#USABILITY,positive
618,262:4,"It has many great programs, such as ILife, iPhotos and others.",LAPTOP#DESIGN_FEATURES,positive
618,262:4,"It has many great programs, such as ILife, iPhotos and others.",SOFTWARE#GENERAL,positive
619,262:5,iLife is easily compatible with Microsoft Office so you can send and receive files from a PC.,SOFTWARE#USABILITY,positive
620,262:6,"In addition, all the design tools on Pages and Keynotes makes it much easier to create professional looking documents and presentations.",SOFTWARE#DESIGN_FEATURES,positive
620,262:6,"In addition, all the design tools on Pages and Keynotes makes it much easier to create professional looking documents and presentations.",SOFTWARE#USABILITY,positive
621,262:7,This comes in very handy for me as an educator.,SOFTWARE#USABILITY,positive
622,262:8,iPhotos is an excellent program for storing and organizing photos.,SOFTWARE#MISCELLANEOUS,positive
623,262:9,It allows you to automatically upload photos to your Facebook account with one click.,SOFTWARE#USABILITY,positive
624,262:10,"In addition, there is photo detection software that will allow you to group all the photos together based upon the people in the picture.",SOFTWARE#DESIGN_FEATURES,positive
625,262:11,"If you are looking for something reliable, this is the laptop for you.",LAPTOP#QUALITY,positive
627,231:0,This computer was awful!,LAPTOP#GENERAL,negative
628,231:1,I will never buy another computer from Dell ever again do to how awful it worked and how I was treated by the company.,COMPANY#GENERAL,negative
628,231:1,I will never buy another computer from Dell ever again do to how awful it worked and how I was treated by the company.,LAPTOP#OPERATION_PERFORMANCE,negative
628,231:1,I will never buy another computer from Dell ever again do to how awful it worked and how I was treated by the company.,SUPPORT#QUALITY,negative
629,231:2,The computer first started malfunctioning 3 months after purchasing it.,LAPTOP#OPERATION_PERFORMANCE,negative
629,231:2,The computer first started malfunctioning 3 months after purchasing it.,LAPTOP#QUALITY,negative
630,231:3,It does not keep internet signals no matter where you bring it.,LAPTOP#CONNECTIVITY,negative
631,231:4,"The system it comes with does not work properly, so when trying to fix the problems with it it started not working at all.",OS#QUALITY,negative
631,231:4,"The system it comes with does not work properly, so when trying to fix the problems with it it started not working at all.",OS#OPERATION_PERFORMANCE,negative
632,231:5,"When calling Dell for help, reurn, or a new computer they were not useful and left it up to myself to figure out what to do with it.",SUPPORT#QUALITY,negative
633,231:6,"One year of trying to fix the computer by myself, with help of friends, and even help from computer experts I have given up on trying to fix it.",LAPTOP#QUALITY,negative
634,231:7,"This computer was awful, I would never recomend it to another person.",LAPTOP#GENERAL,negative
635,231:8,Those moments in thime where you want to throw something against the wall?,LAPTOP#GENERAL,negative
636,231:9,"Yeah, I wanted to throw that lap top out the window and light it on fire.",LAPTOP#GENERAL,negative
637,231:10,That's how frustrating it was.,LAPTOP#GENERAL,negative
638,379:0,"It is so simple to use, I use it more than my desktop.",LAPTOP#USABILITY,positive
639,379:1,"It is well worth the money it cost, Very good investment.",LAPTOP#GENERAL,positive
639,379:1,"It is well worth the money it cost, Very good investment.",LAPTOP#PRICE,positive
640,37:0,The new Macbook Pro 15 inch i7 is nothing short of amazing.,LAPTOP#GENERAL,positive
641,37:1,The speed is incredible and I am more than satisfied.,LAPTOP#OPERATION_PERFORMANCE,positive
644,320:1,THIS LAPTOP WAS BAD FROM THE FIRST DAY OF USE----BROUGHT IT BACK TO STORE FOR RETURN OF MONEY.,LAPTOP#QUALITY,negative
644,320:1,THIS LAPTOP WAS BAD FROM THE FIRST DAY OF USE----BROUGHT IT BACK TO STORE FOR RETURN OF MONEY.,LAPTOP#GENERAL,negative
645,320:2,NOW AM VERY APREHENSIVE ABOUT TOSHIBA LAPTOPS.,COMPANY#GENERAL,negative
646,320:3,WILL NOT EVERY BUY ANOTHER--------LOU,LAPTOP#GENERAL,negative
647,319:0,This is a great value for the money.,LAPTOP#GENERAL,positive
647,319:0,This is a great value for the money.,LAPTOP#PRICE,neutral
649,319:2,This is a great computer.,LAPTOP#GENERAL,positive
650,319:3,We haven't had any problems with it at all.,LAPTOP#GENERAL,positive
651,319:4,The body is a bit cheaply made so it will be interesting to see how long it holds up.,LAPTOP#QUALITY,negative
652,319:5,"Overall though, for the money spent it's a great deal.",LAPTOP#GENERAL,positive
652,319:5,"Overall though, for the money spent it's a great deal.",LAPTOP#PRICE,positive
654,307:1,"But let me tell you, the mac book pro is so professional.",LAPTOP#GENERAL,positive
655,307:2,Its very nice and once you learn the features you will be so happy to have such a sophisticated computer.,LAPTOP#GENERAL,positive
655,307:2,Its very nice and once you learn the features you will be so happy to have such a sophisticated computer.,LAPTOP#DESIGN_FEATURES,positive
656,307:3,"For example, when my husband turns the light out while I'm on the computer. the screen brightness automatically adjusts.",DISPLAY#DESIGN_FEATURES,positive
658,307:5,It is VERY easy to type on and feels great - besides the added feature that the keyboard is lighted.,KEYBOARD#USABILITY,positive
658,307:5,It is VERY easy to type on and feels great - besides the added feature that the keyboard is lighted.,KEYBOARD#QUALITY,positive
658,307:5,It is VERY easy to type on and feels great - besides the added feature that the keyboard is lighted.,KEYBOARD#DESIGN_FEATURES,positive
659,307:6,"Oh, it is such a great piece of equipment.",LAPTOP#GENERAL,positive
661,307:8,"Its Office compatible, but the features and its functioning is all new again so you might as well save the money and just learn the pre installed mac programs.",SOFTWARE#USABILITY,positive
661,307:8,"Its Office compatible, but the features and its functioning is all new again so you might as well save the money and just learn the pre installed mac programs.",SOFTWARE#DESIGN_FEATURES,neutral
661,307:8,"Its Office compatible, but the features and its functioning is all new again so you might as well save the money and just learn the pre installed mac programs.",SOFTWARE#OPERATION_PERFORMANCE,neutral
664,306:0,"I get a ton of compliments on its size, and speaking as someone who regularly commutes on a bus, I can attest to the fact that this is the perfect size computer if you're restricted to the width of your body for computing room.",LAPTOP#DESIGN_FEATURES,positive
664,306:0,"I get a ton of compliments on its size, and speaking as someone who regularly commutes on a bus, I can attest to the fact that this is the perfect size computer if you're restricted to the width of your body for computing room.",LAPTOP#PORTABILITY,positive
665,306:1,Very long-life battery (up to 10-11 hours depending on how you configure power level settings).,BATTERY#OPERATION_PERFORMANCE,positive
666,306:2,"I upgraded the memory and replaced the base Windows 7 Starter to Win 7 Home, and it runs just fine.",LAPTOP#USABILITY,neutral
666,306:2,"I upgraded the memory and replaced the base Windows 7 Starter to Win 7 Home, and it runs just fine.",LAPTOP#OPERATION_PERFORMANCE,positive
667,306:3,"I play a lot of casual games online, and the touchpad is very responsive.",MOUSE#OPERATION_PERFORMANCE,positive
669,306:5,"I wouldn't play a first-person shooter with this, mind, but if you wanted to run MS Office, email, chat, download a video, listen to music from a certain fruit-named music store, and were looking for a highly portable yet powerful netbook to do that all in, I'd highly recommend checking this out.",LAPTOP#PORTABILITY,positive
669,306:5,"I wouldn't play a first-person shooter with this, mind, but if you wanted to run MS Office, email, chat, download a video, listen to music from a certain fruit-named music store, and were looking for a highly portable yet powerful netbook to do that all in, I'd highly recommend checking this out.",LAPTOP#OPERATION_PERFORMANCE,positive
669,306:5,"I wouldn't play a first-person shooter with this, mind, but if you wanted to run MS Office, email, chat, download a video, listen to music from a certain fruit-named music store, and were looking for a highly portable yet powerful netbook to do that all in, I'd highly recommend checking this out.",LAPTOP#MISCELLANEOUS,positive
670,306:6,The downside to this netbook is pretty much the same for any netbook: screen size is not something I'd stare at for the entire 10-11 hours of battery life five days a week.,DISPLAY#DESIGN_FEATURES,negative
671,306:7,Additional caveat: the base installation comes with some Toshiba-specific software that may or may not be to a user's liking.,SOFTWARE#DESIGN_FEATURES,neutral
674,3:2,Everything from the design to the OS is simple and to the point.,LAPTOP#DESIGN_FEATURES,positive
674,3:2,Everything from the design to the OS is simple and to the point.,OS#USABILITY,positive
674,3:2,Everything from the design to the OS is simple and to the point.,LAPTOP#USABILITY,positive
675,3:3,LOVE IT LOVE IT LOVE IT!,LAPTOP#GENERAL,positive
676,312:0,It really is perfect for work and play.,LAPTOP#MISCELLANEOUS,positive
677,312:1,I am able to play 720p and 1080p media files just fine with it.,LAPTOP#MISCELLANEOUS,positive
678,312:2,Everything I have tried has worked and I never have to carry the wall charger cause the battery is so awesome.,LAPTOP#OPERATION_PERFORMANCE,positive
678,312:2,Everything I have tried has worked and I never have to carry the wall charger cause the battery is so awesome.,BATTERY#OPERATION_PERFORMANCE,positive
679,312:3,"The only thing that isn't perfect about this netbook is the speakers, they are not loud at all but I expected that.",MULTIMEDIA_DEVICES#QUALITY,negative
680,312:4,"I upgraded it's RAM to 2GB, I am very happy with it.",LAPTOP#GENERAL,positive
680,312:4,"I upgraded it's RAM to 2GB, I am very happy with it.",MEMORY#DESIGN_FEATURES,neutral
681,390:0,lots of preloaded software.,LAPTOP#DESIGN_FEATURES,positive
682,390:1,"the only problem is that i had to add 1 gb RAM, the computer was kinda slow.",MEMORY#DESIGN_FEATURES,negative
682,390:1,"the only problem is that i had to add 1 gb RAM, the computer was kinda slow.",LAPTOP#OPERATION_PERFORMANCE,negative
683,390:2,"tosiba has a good reputation, my llast computer was an acer.",COMPANY#GENERAL,positive
684,390:3,this is starting off good.,LAPTOP#GENERAL,positive
685,389:0,What a great little laptop.,LAPTOP#GENERAL,positive
686,389:1,Maybe not the cutting edge (Satellite L455D) but it is a workhorse.,LAPTOP#DESIGN_FEATURES,neutral
686,389:1,Maybe not the cutting edge (Satellite L455D) but it is a workhorse.,LAPTOP#OPERATION_PERFORMANCE,positive
687,389:2,I bought it to use in college and it is perfect.,LAPTOP#MISCELLANEOUS,positive
688,389:3,I dual boot with Linux and that other security-prone OS and it performs flawlessly.,LAPTOP#OPERATION_PERFORMANCE,positive
689,389:4,I made a perfect decision when I bought the Toshiba!,LAPTOP#GENERAL,positive
689,389:4,I made a perfect decision when I bought the Toshiba!,COMPANY#GENERAL,positive
690,370:0,Excellent product for the money.,LAPTOP#GENERAL,positive
690,370:0,Excellent product for the money.,LAPTOP#PRICE,neutral
691,370:1,"No problems, no lock ups, no disappointments.",LAPTOP#OPERATION_PERFORMANCE,positive
691,370:1,"No problems, no lock ups, no disappointments.",LAPTOP#GENERAL,positive
692,370:2,"Not super fancy, but not super expensive either.",LAPTOP#DESIGN_FEATURES,neutral
692,370:2,"Not super fancy, but not super expensive either.",LAPTOP#PRICE,neutral
694,370:4,Highly recommend for daily use.,LAPTOP#MISCELLANEOUS,positive
697,115:1,The Computer itself is a good product but the repair depot stinks.,LAPTOP#GENERAL,positive
697,115:1,The Computer itself is a good product but the repair depot stinks.,SUPPORT#QUALITY,negative
698,115:2,I have had to send in my laptop three times to get it fixed.,SUPPORT#QUALITY,negative
701,115:5,Toshiba does not send any one out unless you have paid extra to have the on site repair done.,SUPPORT#QUALITY,negative
702,115:6,I would tell the technician I knew exactly what was wrong with it but they did not listen and I had to go through a bunch of junk to get them to tell me I needed to send the computer in.,SUPPORT#QUALITY,negative
703,115:7,This computer that I have has had issues with the keyboard where it lost half the keyboard functions.,KEYBOARD#QUALITY,negative
703,115:7,This computer that I have has had issues with the keyboard where it lost half the keyboard functions.,KEYBOARD#OPERATION_PERFORMANCE,negative
704,115:8,As well as having the plug in the computer come loose.,POWER_SUPPLY#QUALITY,negative
708,115:12,So having the AC plug go out on me and get lose or I could actually here it inside my computer on two of the three times is not good.,POWER_SUPPLY#QUALITY,negative
709,115:13,It still seems to be a little lose now but so far seems to be hanging in there.,POWER_SUPPLY#QUALITY,negative
710,12:0,The Mac Book Pro performs flawlessly.,LAPTOP#OPERATION_PERFORMANCE,positive
711,12:1,"Never had a single problem, and don't have to worry about viruses.",LAPTOP#GENERAL,positive
711,12:1,"Never had a single problem, and don't have to worry about viruses.",LAPTOP#QUALITY,positive
712,12:2,"While I mostly use it for email, internet and gaming, I'm confident all other applications live up to the high standard I've come to appreciate from Mac laptops.",LAPTOP#MISCELLANEOUS,positive
713,12:3,Worth the investment and truly a fine piece of equipment.,LAPTOP#GENERAL,positive
714,168:0,"Right out of the box, this little netbook did everything I asked of it, including streaming the everyday video you're bound to encounter checking mail and websites (my biggest complaint previously).",LAPTOP#GENERAL,positive
714,168:0,"Right out of the box, this little netbook did everything I asked of it, including streaming the everyday video you're bound to encounter checking mail and websites (my biggest complaint previously).",LAPTOP#MISCELLANEOUS,positive
715,168:1,"It even has a great webcam, and Skype works very well.",LAPTOP#DESIGN_FEATURES,positive
715,168:1,"It even has a great webcam, and Skype works very well.",MULTIMEDIA_DEVICES#GENERAL,positive
715,168:1,"It even has a great webcam, and Skype works very well.",SOFTWARE#OPERATION_PERFORMANCE,positive
716,168:2,The fact that you can spend over $100 on just a webcam underscores the value of this machine.,LAPTOP#GENERAL,positive
717,168:3,"The Windows 7 Starter is, in my opinion, a great way to think about using your netbook: basics, basics, basics.",OS#GENERAL,neutral
718,168:4,"I wiped nearly everything off of it, installed OpenOffice and Firefox, and I am operating an incredibly efficient and useful machine for a great price.",OS#GENERAL,negative
718,168:4,"I wiped nearly everything off of it, installed OpenOffice and Firefox, and I am operating an incredibly efficient and useful machine for a great price.",LAPTOP#PRICE,positive
718,168:4,"I wiped nearly everything off of it, installed OpenOffice and Firefox, and I am operating an incredibly efficient and useful machine for a great price.",LAPTOP#OPERATION_PERFORMANCE,positive
718,168:4,"I wiped nearly everything off of it, installed OpenOffice and Firefox, and I am operating an incredibly efficient and useful machine for a great price.",LAPTOP#GENERAL,positive
719,168:5,"This netbook is a perfect supplementary computer to another laptop or desktop (my wife and I have another laptop), or if you are a user who uses the computer for simple tasks.",LAPTOP#MISCELLANEOUS,positive
720,168:6,"I use this for my tutoring business, and since I'm always bouncing from student to student, it is ideal for portability and battery life (yes, it gets the 8 hours as advertised!).",LAPTOP#PORTABILITY,positive
720,168:6,"I use this for my tutoring business, and since I'm always bouncing from student to student, it is ideal for portability and battery life (yes, it gets the 8 hours as advertised!).",BATTERY#OPERATION_PERFORMANCE,positive
722,168:8,"ASUS has done an outstanding job of evolving their netbooks, and I would recommend this to anyone who both understands their needs and how netbooks can fit them.",LAPTOP#GENERAL,positive
722,168:8,"ASUS has done an outstanding job of evolving their netbooks, and I would recommend this to anyone who both understands their needs and how netbooks can fit them.",COMPANY#GENERAL,positive
723,351:0,little short on RAM but you get what you pay for.,MEMORY#DESIGN_FEATURES,neutral
724,351:1,"the hinge design forced you to place various connections all around the computer, left right and front.",LAPTOP#DESIGN_FEATURES,negative
724,351:1,"the hinge design forced you to place various connections all around the computer, left right and front.",LAPTOP#USABILITY,negative
725,351:2,"the headphone and mic jack are in front of touch-pad making the touch-pad hard to use when using headphones/mic, not to mention the laptop was designed for right handed person.",PORTS#DESIGN_FEATURES,negative
725,351:2,"the headphone and mic jack are in front of touch-pad making the touch-pad hard to use when using headphones/mic, not to mention the laptop was designed for right handed person.",MOUSE#USABILITY,negative
725,351:2,"the headphone and mic jack are in front of touch-pad making the touch-pad hard to use when using headphones/mic, not to mention the laptop was designed for right handed person.",LAPTOP#DESIGN_FEATURES,negative
725,351:2,"the headphone and mic jack are in front of touch-pad making the touch-pad hard to use when using headphones/mic, not to mention the laptop was designed for right handed person.",LAPTOP#USABILITY,negative
726,351:3,Cords coming out the right for power plus cords coming out front for headphones/mic plus network connection on left make for a very messy setup with cords going every direction.,LAPTOP#DESIGN_FEATURES,negative
726,351:3,Cords coming out the right for power plus cords coming out front for headphones/mic plus network connection on left make for a very messy setup with cords going every direction.,LAPTOP#USABILITY,negative
727,351:4,"I love windows 7 but i can't give Toshiba any credit for that, unless y'all get serious about ergonomics and making required connections less obtrusive i will be looking to different manufacturer next time.",OS#GENERAL,positive
727,351:4,"I love windows 7 but i can't give Toshiba any credit for that, unless y'all get serious about ergonomics and making required connections less obtrusive i will be looking to different manufacturer next time.",LAPTOP#USABILITY,negative
727,351:4,"I love windows 7 but i can't give Toshiba any credit for that, unless y'all get serious about ergonomics and making required connections less obtrusive i will be looking to different manufacturer next time.",LAPTOP#DESIGN_FEATURES,negative
727,351:4,"I love windows 7 but i can't give Toshiba any credit for that, unless y'all get serious about ergonomics and making required connections less obtrusive i will be looking to different manufacturer next time.",COMPANY#GENERAL,negative
728,134:0,I was happy with My purchase of a Toshiba Satellite L305D-S5934 laptop until it came time to have it repaired under the Toshiba Warranty.,LAPTOP#GENERAL,positive
728,134:0,I was happy with My purchase of a Toshiba Satellite L305D-S5934 laptop until it came time to have it repaired under the Toshiba Warranty.,SUPPORT#QUALITY,negative
729,134:1,The computer was shipped to their repair depot  on june 24 and returned on July 2 seems like a short turn around time except the computer was not repaired when it was returned.,SHIPPING#QUALITY,positive
729,134:1,The computer was shipped to their repair depot  on june 24 and returned on July 2 seems like a short turn around time except the computer was not repaired when it was returned.,SUPPORT#QUALITY,negative
731,134:3,They were totally unconcerned that the computer was not correctly repaired in the first place.,SUPPORT#QUALITY,negative
732,134:4,The computer is currently in West Verginia doe to the method of shipping choosen by Toshiba.,SHIPPING#QUALITY,negative
733,134:5,The computer could have been shipped by Priority Mail through the USPS for the same cost and arrived by Noon on Tue.,SHIPPING#QUALITY,negative
734,134:6,Instead it is sitting in West Verginia waiting for UPS to take two days to send Me a box and Two days for them to ship the computer some 691 miles by air? to Louisville Ky.,SHIPPING#QUALITY,negative
736,134:8,And Toshiba is totally unconcerned.,SUPPORT#QUALITY,negative
737,134:9,The reaction of Toshiba is there is nothing you can do about it so just sit back and except the fact that you are powerless and it is mind over matter.,SUPPORT#QUALITY,negative
738,134:10,We don't Mind and You don't Matter.,SUPPORT#QUALITY,negative
739,134:11,I would not recommend the purchase of this modle of Toshiba Computer or any Toshiba product for that matter.,LAPTOP#GENERAL,negative
739,134:11,I would not recommend the purchase of this modle of Toshiba Computer or any Toshiba product for that matter.,COMPANY#GENERAL,negative
740,134:12,When it come time for warranty service to Toshiba you don't matter.,SUPPORT#QUALITY,negative
741,112:0,Windows Vista makes this computer almost unusable for online service.,OS#GENERAL,negative
741,112:0,Windows Vista makes this computer almost unusable for online service.,LAPTOP#USABILITY,negative
742,112:1,I've tried going back to XL but there still problems.,LAPTOP#USABILITY,negative
743,112:2,The technical service for dell is so 3rd world it might as well not even bother.,SUPPORT#QUALITY,negative
744,112:3,Just a bunch of idiots who's English as a 5th language is forced at best.,SUPPORT#QUALITY,negative
